"","OfferContactDate","CustomerID","ApplianceID","Brand","V1","V2","V3","V4","V5","V6","V7","V8"
"1","09/03/2017",3711,2743,"A","B","F","CK",3,6,16,"A",5
"2","09/03/2017",5237,4627,"A","A","E","AW",2,1,1,"A",2
"3","09/03/2017",8539,8564,"A","B","F","FF",4,1,6,"A",2
"4","14/03/2017",13824,14153,"A","B","F","TD",3,1,1,"A",1
"5","09/03/2017",2746,1567,"A","B","D","TD",3,0,1,"A",2
"6","09/03/2017",13730,14053,"A","B","E","TD",2,0,1,"A",1
"7","14/03/2017",14230,14581,"A","B","E","AW",3,0,1,"A",1
"8","09/03/2017",11246,11430,"A","B","F","AW",2,0,1,"A",1
"9","09/03/2017",10893,11066,"A","B","E","FF",3,0,0,"A",1
"10","09/03/2017",860,4656,"A","A","E","FF",4,2,11,"A",3
"11","09/03/2017",2808,1642,"A","A","F","FF",2,0,6,"A",3
"12","09/03/2017",2383,1120,"A","A","E","FF",4,0,3,"A",2
"13","09/03/2017",11477,11671,"A","B","G","FF",8,0,1,"A",1
"14","09/03/2017",5416,4862,"A","B","E","DW",2,1,1,"A",1
"15","09/03/2017",12320,12552,"A","B","F","AW",3,1,1,"A",1
"16","09/03/2017",7200,7041,"A","C","F","FR",2,2,5,"A",6
"17","09/03/2017",11765,11968,"A","B","F","CK",3,0,1,"A",1
"18","09/03/2017",14852,8,"A","B","D","AW",2,0,1,"A",6
"19","06/03/2017",5350,4774,"A","B","E","AW",2,0,0,"A",1
"20","09/03/2017",12401,12637,"A","B","F","CK",4,1,1,"A",1
"21","09/03/2017",14115,14462,"A","B","F","WD",4,1,1,"A",1
"22","09/03/2017",2887,1741,"A","B","E","AW",2,0,1,"A",1
"23","09/03/2017",11143,11324,"A","B","E","FF",3,0,1,"A",1
"24","09/03/2017",1685,202,"A","B","F","FZ",3,0,1,"A",1
"25","09/03/2017",3727,2764,"A","B","F","AW",3,0,2,"A",1
"26","09/03/2017",5438,4886,"A","C","E","FZ",2,1,1,"A",3
"27","09/03/2017",183,15337,"A","B","E","DW",2,2,1,"A",10
"28","09/03/2017",5393,4833,"A","A","D","AW",2,0,5,"A",3
"29","09/03/2017",13381,13673,"A","A","D","HB",1,0,1,"A",1
"30","09/03/2017",4770,4046,"A","B","F","AW",3,2,6,"A",3
"31","09/03/2017",6940,6736,"A","B","D","CK",3,6,20,"A",4
"32","09/03/2017",8973,9046,"A","A","F","FF",3,1,3,"A",2
"33","09/03/2017",7114,6944,"A","B","G","FF",6,0,5,"A",2
"34","09/03/2017",2519,1279,"A","B","F","FR",3,0,11,"A",4
"35","09/03/2017",12923,13179,"A","B","D","AW",2,0,1,"A",1
"36","09/03/2017",11299,11483,"A","B","F","AW",3,0,1,"A",1
"37","09/03/2017",12570,12814,"A","A","F","FF",2,0,1,"A",4
"38","14/03/2017",1448,14972,"A","B","F","AW",2,0,1,"A",2
"39","09/03/2017",11821,12026,"A","B","F","AW",3,0,1,"A",1
"40","09/03/2017",5809,5363,"A","A","G","OV",3,0,4,"A",2
"41","09/03/2017",12849,13103,"A","B","D","TD",2,0,1,"A",1
"42","09/03/2017",11086,11266,"A","B","F","FF",2,0,1,"A",1
"43","09/03/2017",12450,12687,"A","B","F","FF",4,1,2,"A",2
"44","09/03/2017",8123,8100,"A","B","D","AW",3,1,1,"A",1
"45","09/03/2017",7750,7673,"A","B","E","TD",3,0,5,"A",2
"46","09/03/2017",12506,12744,"A","B","E","FF",3,0,1,"A",1
"47","09/03/2017",333,1029,"A","B","F","FF",3,1,5,"A",4
"48","09/03/2017",6837,6615,"A","B","E","AW",2,1,6,"A",1
"49","09/03/2017",11893,12104,"A","B","D","FF",3,0,1,"A",1
"50","09/03/2017",11511,11706,"A","B","D","AW",3,2,2,"A",2
"51","09/03/2017",6846,6626,"A","B","E","HB",2,2,8,"A",4
"52","09/03/2017",13265,13548,"A","B","F","CK",3,0,1,"A",1
"53","09/03/2017",6229,5872,"A","B","E","CK",4,1,8,"A",3
"54","09/03/2017",3388,2349,"A","B","F","FR",1,0,4,"A",3
"55","09/03/2017",979,5286,"A","B","E","AW",3,1,6,"A",3
"56","09/03/2017",1339,8626,"A","C","F","FF",3,3,8,"A",5
"57","09/03/2017",4421,3628,"A","B","F","AW",2,0,1,"A",1
"58","09/03/2017",7545,7438,"A","B","E","FF",3,1,4,"A",3
"59","09/03/2017",11241,11425,"A","B","F","AW",4,1,1,"A",1
"60","09/03/2017",5736,5265,"A","B","E","FF",4,0,1,"A",1
"61","09/03/2017",13836,14165,"A","B","E","FF",2,0,1,"A",1
"62","09/03/2017",4078,3203,"A","B","F","FR",2,1,26,"A",8
"63","09/03/2017",6559,6282,"A","B","E","AW",2,0,4,"A",3
"64","09/03/2017",4642,3893,"A","C","E","CK",2,2,2,"A",2
"65","09/03/2017",11116,11297,"A","C","F","DW",2,5,5,"A",5
"66","09/03/2017",3578,2579,"A","A","E","AW",2,1,2,"A",2
"67","09/03/2017",6852,6633,"A","B","E","FZ",4,0,9,"A",5
"68","09/03/2017",12255,12481,"A","B","E","HB",2,0,1,"A",2
"69","09/03/2017",1160,6557,"A","B","E","FF",3,1,3,"A",2
"70","09/03/2017",13422,13718,"A","B","F","FF",3,0,1,"A",1
"71","09/03/2017",4736,4008,"A","A","F","FF",2,0,1,"A",1
"72","09/03/2017",13033,13296,"A","B","F","FF",4,0,1,"A",1
"73","09/03/2017",4849,4145,"A","B","F","OV",1,0,3,"A",2
"74","09/03/2017",4655,3908,"A","A","D","FF",3,0,2,"A",2
"75","09/03/2017",6801,6574,"A","A","D","OV",2,0,6,"A",6
"76","09/03/2017",13624,13937,"A","B","F","AW",2,0,1,"A",1
"77","09/03/2017",13287,13571,"A","B","E","AW",3,0,3,"A",3
"78","09/03/2017",5479,4934,"A","C","E","AW",3,0,2,"A",2
"79","09/03/2017",12365,12601,"A","B","E","AW",2,1,1,"A",1
"80","14/03/2017",14356,14712,"A","B","F","DW",3,1,0,"A",1
"81","09/03/2017",6164,5788,"A","B","F","FF",3,1,2,"A",2
"82","09/03/2017",11695,11895,"A","B","E","TD",2,0,1,"A",1
"83","09/03/2017",5617,5118,"A","B","E","AW",2,2,15,"A",7
"84","09/03/2017",4540,3769,"A","B","F","FF",3,0,1,"A",1
"85","09/03/2017",12154,12377,"A","A","D","CK",3,0,2,"A",3
"86","09/03/2017",14966,216,"A","B","E","FF",10,0,0,"A",1
"87","09/03/2017",11674,11873,"A","B","E","FF",3,0,2,"A",2
"88","09/03/2017",1612,15480,"A","B","E","CK",4,0,1,"A",2
"89","09/03/2017",3389,2350,"A","B","E","FZ",3,0,1,"A",1
"90","09/03/2017",1899,518,"A","A","F","FF",2,1,11,"A",5
"91","09/03/2017",3306,2252,"A","B","F","DW",3,0,3,"A",4
"92","09/03/2017",810,4352,"A","A","F","DW",2,1,9,"A",8
"93","09/03/2017",10994,11173,"A","B","D","FF",3,0,1,"A",1
"94","09/03/2017",13418,13714,"A","B","E","AW",3,0,1,"A",1
"95","09/03/2017",12371,12607,"A","B","F","FF",3,0,2,"A",2
"96","09/03/2017",12571,12815,"A","B","F","FF",6,0,2,"A",1
"97","09/03/2017",6485,6192,"A","B","F","FF",3,0,1,"A",1
"98","09/03/2017",5773,5315,"A","B","E","FZ",3,0,1,"A",1
"99","09/03/2017",12701,12949,"A","B","E","CK",3,0,1,"A",1
"100","09/03/2017",9024,9099,"A","A","E","FZ",2,0,1,"A",2
"101","09/03/2017",11140,11321,"A","B","D","FF",3,1,1,"A",1
"102","09/03/2017",4930,4245,"A","C","E","FZ",3,0,3,"A",2
"103","06/03/2017",3749,2791,"A","B","F","CK",4,2,4,"A",2
"104","09/03/2017",14764,15377,"A","B","E","CK",2,1,0,"A",2
"105","09/03/2017",10898,11072,"A","B","F","CK",2,0,2,"A",2
"106","09/03/2017",2886,1739,"A","B","E","CK",2,0,1,"A",2
"107","09/03/2017",1732,296,"A","B","F","AW",3,0,1,"A",1
"108","09/03/2017",6812,6586,"A","B","F","FZ",2,0,1,"A",1
"109","09/03/2017",13918,14254,"A","B","F","AW",3,0,1,"A",1
"110","09/03/2017",8913,8976,"A","B","F","OV",3,2,5,"A",2
"111","09/03/2017",14514,14929,"A","B","E","TD",2,0,0,"A",2
"112","09/03/2017",11859,12066,"A","B","F","FZ",3,0,6,"A",4
"113","09/03/2017",4990,4319,"A","B","F","DW",4,0,3,"A",2
"114","09/03/2017",6098,5713,"A","B","G","TD",4,1,8,"A",3
"115","09/03/2017",1970,606,"A","B","E","DW",2,0,19,"A",3
"116","09/03/2017",179,15229,"A","A","E","AW",3,0,12,"A",3
"117","09/03/2017",11711,11911,"A","B","E","AW",3,0,2,"A",2
"118","09/03/2017",1378,13792,"A","A","F","FF",2,0,6,"A",2
"119","09/03/2017",6324,5990,"A","B","E","DW",2,0,1,"A",1
"120","09/03/2017",10955,11131,"A","B","F","FZ",3,1,2,"A",2
"121","14/03/2017",14713,15300,"A","B","F","FF",3,1,1,"A",2
"122","09/03/2017",7102,6930,"A","B","F","FF",2,0,2,"A",2
"123","09/03/2017",6930,6726,"A","B","F","DW",3,0,5,"A",2
"124","09/03/2017",2321,1043,"A","B","G","AW",2,3,17,"A",6
"125","09/03/2017",12121,12343,"A","B","F","AW",2,0,2,"A",2
"126","09/03/2017",6452,6155,"A","B","F","FF",2,0,1,"A",1
"127","09/03/2017",7374,7238,"A","C","F","FZ",2,1,2,"A",5
"128","09/03/2017",2809,1643,"A","B","F","FR",2,10,50,"A",8
"129","09/03/2017",3138,2042,"A","B","F","AW",2,0,9,"A",3
"130","09/03/2017",8849,8907,"A","B","D","FF",3,2,1,"A",3
"131","09/03/2017",8489,8506,"A","B","E","FF",3,0,1,"A",1
"132","09/03/2017",1060,5890,"A","B","F","AW",2,0,2,"A",2
"133","09/03/2017",508,2261,"A","C","E","DW",2,0,3,"A",2
"134","09/03/2017",10978,11156,"A","B","E","FF",3,2,2,"A",3
"135","14/03/2017",13963,14304,"A","B","D","AW",3,1,0,"A",1
"136","09/03/2017",8884,8946,"A","B","F","AW",2,0,5,"A",4
